,3000,5000
843,0.135,0.09
844,0.135,0.09
845,0.135,0.09
846,0.135,0.09
847,0.135,0.09
848,0.135,0.09
849,0.135,0.09
850,0.135,0.09
851,0.135,0.09
852,0.135,0.09
853,0.135,0.085
854,0.13,0.085
855,0.13,0.08
856,0.13,0.08
857,0.13,0.08
858,0.13,0.08
859,0.13,0.08
860,0.125,0.08
861,0.12,0.08
862,0.12,0.08
863,0.12,0.08
864,0.12,0.08
865,0.115,0.075
866,0.115,0.075
867,0.115,0.075
868,0.115,0.075
869,0.115,0.07
870,0.115,0.07
871,0.115,0.07
872,0.115,0.07
873,0.115,0.07
874,0.115,0.07
875,0.115,0.07
876,0.115,0.07
877,0.115,0.07
878,0.115,0.07
879,0.115,0.07
880,0.115,0.07
881,0.115,0.07
882,0.115,0.07
883,0.115,0.07
884,0.115,0.07
885,0.115,0.07
886,0.115,0.07
887,0.115,0.07
888,0.115,0.07
889,0.115,0.07
890,0.115,0.07
891,0.115,0.07
892,0.115,0.07
893,0.11,0.07
894,0.11,0.07
895,0.11,0.07
896,0.11,0.07
897,0.11,0.07
898,0.11,0.07
899,0.11,0.07
900,0.11,0.07
901,0.11,0.07
902,0.11,0.07
903,0.11,0.07
904,0.11,0.07
905,0.11,0.07
906,0.11,0.07
907,0.11,0.07
908,0.11,0.07
909,0.11,0.07
910,0.11,0.07
911,0.11,0.065
912,0.105,0.065
913,0.105,0.065
914,0.105,0.065
915,0.105,0.065
916,0.105,0.065
917,0.105,0.065
918,0.105,0.065
919,0.105,0.065
920,0.105,0.065
921,0.105,0.065
922,0.105,0.065
923,0.105,0.065
924,0.105,0.065
925,0.105,0.065
926,0.105,0.065
927,0.105,0.065
928,0.105,0.065
929,0.1,0.065
930,0.1,0.065
931,0.1,0.065
932,0.1,0.065
933,0.1,0.065
934,0.1,0.065
935,0.1,0.065
936,0.1,0.065
937,0.1,0.065
938,0.1,0.065
939,0.1,0.065
940,0.1,0.065
941,0.1,0.06
942,0.1,0.06
943,0.1,0.06
944,0.1,0.06
945,0.1,0.06
946,0.1,0.06
947,0.1,0.06
948,0.1,0.06
949,0.1,0.06
950,0.1,0.06
951,0.1,0.06
